archetype,horizon,trades,win_rate,stop_rate,timeout_rate,ambiguous_rate,total_r,avg_r
range_start,1h,8,0.5,0.5,0.0,0.0,47.5,5.9375
post_breakout,1h,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,28.047619047619047,4.674603174603175
after_formed,1h,1,0.0,1.0,0.0,0.0,-1.0,-1.0
range_start,2h,8,0.5,0.5,0.0,0.0,47.5,5.9375
post_breakout,2h,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,31.428571428571427,5.238095238095238
after_formed,2h,1,0.0,1.0,0.0,0.0,-1.0,-1.0
range_start,4h,8,0.5,0.5,0.0,0.0,47.5,5.9375
post_breakout,4h,6,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,32.476190476190474,5.412698412698412
after_formed,4h,1,0.0,1.0,0.0,0.0,-1.0,-1.0
range_start,session,8,0.5,0.5,0.0,0.0,47.5,5.9375
post_breakout,session,6,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,32.476190476190474,5.412698412698412
after_formed,session,1,0.0,1.0,0.0,0.0,-1.0,-1.0
